id,name,lat,long
104147,Spa Grau Roig,42.532827,1.701034
104150,Natura Spa,42.533209,1.518185
10144,Sport Wellness Mountain Spa,42.575877,1.669081
10153,AnyÌ_s Park the Mountain & Wellness Resort,42.531831,1.524121
10166,Spa Plaza (Hotel Plaza),42.506852,1.532303
10168,Centre Termal i Spa Hotel Roc Blanc,42.509181,1.538874
10170,Mountain Spa Piolets park & Spa,42.577625,1.664158
10172,Espai Wellness & Spa de l'hotel Princesa Parc,42.573296,1.483547
10174,Hotel & Spa Xalet BringuÌ©,42.6188,1.539327
10176,Galanthus Spa & Wellness,42.582393,1.66435
10178,Hotel i Termes Carlemany,42.50913,1.543418
15831,InÌ¼u,42.511415,1.537936
15834,Caldea,42.511415,1.537936
140398,Landevity,42.506286,1.52181